Property_Type,Sub_Type,Square_Feet,Bathrooms,Bedrooms,Stories,Year_Built,Listing_Price,Price_per_SqFt,Property_Age
condos,condo,908,2,2,1,1985,145000,159.69163,41
condos,condo,560,1,1,,,199000,355.3571429,2026
single_family,,1536,3,3,2,1986,250000,162.7604167,40
single_family,,2868,3,3,1,2009,639900,223.1171548,17
single_family,,1868,3,3,1,2016,699900,374.6788009,10
single_family,,800,1,3,1,1983,239900,299.875,43
single_family,,2716,3,4,2,1968,281000,103.460972,58
single_family,,2890,3,4,1,2025,899900,311.384083,1
single_family,,1571,2,3,1,1940,225000,143.2208784,86
single_family,,1248,1,2,1,1961,150000,120.1923077,65
condos,condo,1675,2,3,1,2006,249900,149.1940299,20
single_family,,1077,2,3,,1975,55000,51.06778087,51
condos,condo,1001,2,2,1,1993,189900,189.7102897,33
condos,condo,395,1,1,1,1980,115000,291.1392405,46
single_family,,2100,2,3,1,1960,338900,161.3809524,66
single_family,,1260,2,3,,1988,109900,87.22222222,38
single_family,,2604,3,4,1,1971,185000,71.04454685,55
single_family,,2834,5,5,,2007,675000,238.1792519,19
single_family,,1890,2,4,,1996,116160,61.46031746,30
single_family,,3609,3,4,2,2023,995000,275.6996398,3
